,timestamp,FullName,CurrentEmploymentType,CurrentEmploymentTitle,location,lat,long,Encounter_FullName,Encounter_CurrentEmploymentType,Encounter_CurrentEmploymentTitle,Encounter_time_diff_minutes
0,2014-01-06 07:28:00,"Vann, Edvard",Security,Perimeter Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Fusil, Stenig",Security,Building Control,7.0
1,2014-01-06 07:28:00,"Vann, Edvard",Security,Perimeter Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Flecha, Sven",Information Technology,IT Technician,9.0
2,2014-01-06 07:28:00,"Vann, Edvard",Security,Perimeter Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Lais, Cornelia",,,10.0
3,2014-01-06 07:34:00,"Cocinaro, Hideki",Security,Site Control,Hallowed Grounds,36.06365039796875,24.8859114321875,"Frente, Birgitta",Engineering,Geologist,2.0000000000000004
4,2014-01-06 07:35:00,"Fusil, Stenig",Security,Building Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Vann, Edvard",Security,Perimeter Control,-7.0
5,2014-01-06 07:35:00,"Fusil, Stenig",Security,Building Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Flecha, Sven",Information Technology,IT Technician,2.0000000000000004
6,2014-01-06 07:35:00,"Fusil, Stenig",Security,Building Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Lais, Cornelia",,,3.0
7,2014-01-06 07:35:00,"Fusil, Stenig",Security,Building Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Bramar, Mat",,,8.000000000000002
8,2014-01-06 07:35:00,"Fusil, Stenig",Security,Building Control,Brew've Been Served,36.05407241084112,24.90122133514019,"Tempestad, Brand",Engineering,Drill Technician,8.000000000000002
9,2014-01-06 07:36:00,"Frente, Birgitta",Engineering,Geologist,Hallowed Grounds,36.06365039796875,24.8859114321875,"Cocinaro, Hideki",Security,Site Control,-2.0000000000000004
10,2014-01-06 07:37:00,"Flecha, Sven",Information Technology,IT Technician,Brew've Been Served,36.05407241084112,24.90122133514019,"Vann, Edvard",Security,Perimeter Control,-9.0
11,2014-01-06 07:37:00,"Flecha, Sven",Information Technology,IT Technician,Brew've Been Served,36.05407241084112,24.90122133514019,"Fusil, Stenig",Security,Building Control,-2.0000000000000004
12,2014-01-06 07:37:00,"Flecha, Sven",Information Technology,IT Technician,Brew've Been Served,36.05407241084112,24.90122133514019,"Lais, Cornelia",,,1.0000000000000002
13,2014-01-06 07:37:00,"Flecha, Sven",Information Technology,IT Technician,Brew've Been Served,36.05407241084112,24.90122133514019,"Bramar, Mat",,,6.0
14,2014-01-06 07:37:00,"Flecha, Sven",Information Technology,IT Technician,Brew've Been Served,36.05407241084112,24.90122133514019,"Tempestad, Brand",Engineering,Drill Technician,6.0
